resvid,uid,habid,fecha_inicio,fecha_fin
364,135,364,2035-02-25,2035-03-14
365,157,365,2097-05-27,2097-06-10
366,96,366,2089-11-10,2089-11-23
367,366,367,2028-10-22,2028-11-05
368,2,368,2019-10-13,2019-10-30
369,54,369,2060-03-24,2060-03-27
370,283,370,2085-07-07,2085-07-18
371,404,371,2064-11-04,2064-11-06
372,11,372,2033-11-09,2033-11-20
373,172,373,2098-07-16,2098-08-02
374,170,374,2058-10-07,2058-10-11
375,299,375,2022-10-19,2022-10-29
376,348,376,2065-07-01,2065-07-05
377,336,377,2097-08-21,2097-08-28
378,254,378,2069-05-17,2069-05-29
379,57,379,2098-08-16,2098-08-28
380,144,380,2098-03-27,2098-04-02
381,153,381,2090-04-17,2090-05-05
382,204,382,2062-06-21,2062-06-23
383,142,383,2027-01-20,2027-02-01
384,240,384,2025-01-25,2025-02-11
385,181,385,2091-03-23,2091-04-09
386,186,386,2022-05-18,2022-06-05
387,435,387,2067-11-25,2067-12-05
388,310,388,2049-05-19,2049-05-21
389,57,389,2064-10-25,2064-10-28
390,129,390,2043-06-11,2043-06-30
391,52,391,2075-05-14,2075-05-18
392,441,392,2054-02-21,2054-03-07
393,393,393,2049-05-14,2049-06-01
394,0,394,2032-12-26,2033-01-11
395,206,395,2088-10-23,2088-11-02
396,177,396,2081-05-30,2081-05-31
397,200,397,2047-11-23,2047-11-28
398,258,398,2094-08-31,2094-09-17
399,255,399,2078-03-29,2078-04-07
400,420,400,2078-01-23,2078-01-30
401,157,401,2043-11-06,2043-11-15
402,361,402,2065-12-17,2066-01-04
403,117,403,2074-02-13,2074-02-17
404,361,404,2079-12-14,2079-12-19
405,355,405,2092-08-27,2092-09-03
406,349,406,2070-04-22,2070-05-04
407,199,407,2040-01-15,2040-01-17
408,300,408,2056-11-06,2056-11-11
409,185,409,2040-06-18,2040-06-30
410,195,410,2055-08-17,2055-08-19
411,412,411,2097-12-16,2097-12-18
412,130,412,2092-08-29,2092-09-07
413,188,413,2089-05-11,2089-05-16
414,337,414,2085-09-11,2085-09-13
415,52,415,2082-11-25,2082-12-01
416,209,416,2087-08-11,2087-08-27
417,143,417,2067-04-30,2067-05-04
418,429,418,2091-01-31,2091-02-03
419,362,419,2027-12-16,2027-12-18
420,271,420,2084-12-06,2084-12-23
421,411,421,2027-04-16,2027-04-26
422,285,422,2067-04-09,2067-04-22
423,332,423,2073-08-04,2073-08-22
424,224,424,2021-11-20,2021-11-21
425,409,425,2068-10-09,2068-10-15
426,170,426,2055-06-16,2055-06-20
427,206,427,2097-12-17,2097-12-27
428,380,428,2093-08-05,2093-08-22
429,17,429,2097-07-22,2097-08-03
430,145,430,2035-07-04,2035-07-17
431,154,431,2085-06-22,2085-07-06
432,204,432,2057-12-11,2057-12-15
433,100,433,2061-04-19,2061-05-05
434,207,434,2037-02-26,2037-02-27
435,67,435,2084-05-21,2084-06-06
436,412,436,2096-06-13,2096-06-13
437,31,437,2079-03-25,2079-04-11
438,130,438,2047-03-31,2047-04-04
439,203,439,2088-01-04,2088-01-19
440,385,440,2084-02-18,2084-03-08
441,287,441,2048-01-28,2048-02-15
442,261,442,2059-02-11,2059-03-01
443,304,443,2076-06-18,2076-07-05
444,103,444,2093-01-14,2093-01-26
445,16,445,2050-11-21,2050-11-22
446,370,446,2091-06-07,2091-06-13
447,83,447,2034-11-29,2034-12-05
448,281,448,2022-04-28,2022-04-29
449,236,449,2076-05-25,2076-06-13
450,223,450,2080-01-10,2080-01-12
451,108,451,2086-11-28,2086-12-10
452,43,452,2094-12-21,2094-12-24
453,169,453,2069-03-24,2069-03-26
454,60,454,2082-08-20,2082-08-22
455,28,455,2096-10-19,2096-10-22
456,97,456,2079-03-03,2079-03-09
457,64,457,2062-01-19,2062-01-21
458,61,458,2056-01-11,2056-01-18
459,434,459,2046-06-22,2046-07-01
460,235,460,2064-02-16,2064-02-24
461,15,461,2059-11-30,2059-12-06
462,329,462,2088-07-21,2088-08-06
463,297,463,2083-06-14,2083-06-29
464,35,464,2042-08-23,2042-08-25
465,395,465,2046-07-18,2046-07-29
466,56,466,2032-10-07,2032-10-24
467,354,467,2050-09-20,2050-10-03
468,238,468,2060-05-01,2060-05-08
469,127,469,2091-02-14,2091-02-18
470,445,470,2065-03-07,2065-03-12
471,405,471,2095-12-17,2095-12-19
472,10,472,2062-04-08,2062-04-25
473,248,473,2036-04-24,2036-04-26
474,172,474,2052-07-31,2052-08-18
475,24,475,2066-12-28,2067-01-07
476,432,476,2060-09-06,2060-09-06
477,249,477,2091-08-07,2091-08-09
478,200,478,2053-12-08,2053-12-15
479,160,479,2089-09-03,2089-09-03
480,354,480,2091-09-18,2091-09-30
481,438,481,2077-07-08,2077-07-14
482,344,482,2062-03-16,2062-03-31
483,177,483,2022-07-20,2022-07-31
484,50,484,2048-01-29,2048-02-17
485,283,485,2096-12-13,2096-12-28
486,27,486,2049-01-04,2049-01-14
487,413,487,2042-12-26,2042-12-31
488,433,488,2024-09-18,2024-09-29
489,9,489,2035-05-15,2035-05-20
490,234,490,2023-01-30,2023-02-16
491,116,491,2040-09-10,2040-09-14
492,335,492,2071-07-12,2071-07-16
493,78,493,2048-04-26,2048-04-30
494,406,494,2080-10-10,2080-10-13
495,256,495,2028-05-09,2028-05-13
496,171,496,2020-02-11,2020-02-24
497,203,497,2095-02-10,2095-03-01
498,262,498,2025-06-17,2025-06-24
499,174,499,2087-07-15,2087-07-17
500,210,500,2045-03-13,2045-03-23
501,36,501,2066-03-31,2066-04-11
502,393,502,2050-02-10,2050-02-28
503,339,503,2066-12-01,2066-12-13
504,59,504,2049-03-27,2049-03-27
505,131,505,2060-06-29,2060-07-13
506,15,506,2031-08-10,2031-08-24
507,108,507,2053-09-17,2053-09-26
508,406,508,2030-08-31,2030-09-05
509,290,509,2081-09-18,2081-10-01
510,351,510,2054-08-27,2054-09-07
511,310,511,2043-04-03,2043-04-08
512,328,512,2031-07-29,2031-08-07
513,182,513,2028-07-27,2028-08-13
514,351,514,2044-02-21,2044-03-02
515,28,515,2056-09-15,2056-09-22
516,45,516,2026-10-03,2026-10-18
517,427,517,2076-11-10,2076-11-21
518,8,518,2044-07-06,2044-07-17
519,227,519,2027-03-15,2027-03-21
520,319,520,2083-08-26,2083-09-09
521,428,521,2022-09-11,2022-09-19
522,112,522,2065-02-20,2065-03-08
523,246,523,2075-07-10,2075-07-29
524,203,524,2074-09-24,2074-10-07
525,46,525,2046-01-12,2046-01-16
526,77,526,2095-10-14,2095-10-23
527,140,527,2054-10-02,2054-10-18
528,274,528,2090-05-17,2090-06-05
529,135,529,2087-05-27,2087-06-07
530,361,530,2022-09-13,2022-09-25
531,199,531,2063-08-11,2063-08-27
532,242,532,2070-12-04,2070-12-14
533,169,533,2094-01-16,2094-02-02
534,194,534,2078-07-16,2078-07-25
535,430,535,2032-07-07,2032-07-09
536,417,536,2059-04-28,2059-05-10
537,388,537,2084-08-27,2084-09-02
538,178,538,2025-04-01,2025-04-07
539,395,539,2095-10-07,2095-10-16
540,285,540,2098-05-27,2098-06-13
541,314,541,2089-10-29,2089-11-07
542,386,542,2077-02-07,2077-02-15
543,445,543,2093-06-06,2093-06-13
544,310,544,2062-11-04,2062-11-10
545,365,545,2035-09-30,2035-10-13
546,449,546,2039-02-07,2039-02-11
547,186,547,2034-04-09,2034-04-28
548,305,548,2037-05-17,2037-06-03
549,24,549,2079-10-30,2079-11-12
550,181,550,2086-06-06,2086-06-10
551,184,551,2098-06-26,2098-07-11
552,27,552,2085-09-22,2085-09-29
553,277,553,2069-06-10,2069-06-24
554,88,554,2064-12-26,2065-01-12
555,178,555,2019-11-14,2019-11-15
556,38,556,2025-01-25,2025-02-05
557,288,557,2091-03-10,2091-03-17
558,344,558,2029-03-19,2029-03-27
559,140,559,2075-12-04,2075-12-09
560,240,560,2092-06-17,2092-07-01
561,350,561,2064-09-30,2064-10-05
562,138,562,2040-10-12,2040-10-17
563,264,563,2063-09-11,2063-09-30
564,58,564,2060-05-03,2060-05-14
565,346,565,2073-01-22,2073-01-30
566,396,566,2063-07-19,2063-08-06
567,67,567,2022-10-31,2022-11-13
568,157,568,2052-08-29,2052-09-06
569,105,569,2074-02-15,2074-03-02
570,366,570,2046-06-28,2046-07-11
571,287,571,2098-05-22,2098-06-05
572,180,572,2036-10-02,2036-10-09
573,338,573,2028-05-14,2028-06-01
574,260,574,2024-04-10,2024-04-13
575,292,575,2046-12-19,2046-12-19
576,432,576,2097-01-07,2097-01-15
577,268,577,2064-09-11,2064-09-25
578,176,578,2023-08-26,2023-08-29
579,312,579,2064-11-17,2064-12-01
580,154,580,2071-06-02,2071-06-10
581,105,581,2033-12-31,2034-01-02
582,62,582,2049-11-19,2049-11-19
583,153,583,2040-10-29,2040-11-16
584,448,584,2088-05-23,2088-06-04
585,430,585,2069-03-03,2069-03-04
586,303,586,2067-03-24,2067-03-27
587,160,587,2028-03-11,2028-03-23
588,350,588,2059-01-31,2059-02-06
589,292,589,2027-05-27,2027-06-06
590,315,590,2065-09-20,2065-09-28
591,382,591,2074-06-10,2074-06-15
592,242,592,2094-05-24,2094-06-04
593,47,593,2036-04-26,2036-05-14
594,84,594,2074-05-28,2074-06-09
595,26,595,2045-05-28,2045-06-01
596,437,596,2085-09-10,2085-09-19
597,350,597,2095-03-06,2095-03-11
598,241,598,2095-02-14,2095-02-15
599,130,599,2095-03-15,2095-04-01
600,118,600,2052-05-18,2052-05-26
601,231,601,2075-06-02,2075-06-05
602,403,602,2019-10-23,2019-10-27
603,171,603,2023-02-12,2023-02-24
604,91,604,2090-03-05,2090-03-22
605,60,605,2068-08-12,2068-08-29
606,74,606,2098-05-20,2098-06-05
607,411,607,2046-07-13,2046-07-27
608,378,608,2089-02-20,2089-02-27
609,249,609,2045-10-26,2045-11-14
610,326,610,2069-10-17,2069-10-30
611,294,611,2074-01-06,2074-01-14
612,289,612,2088-11-08,2088-11-08
613,355,613,2066-03-28,2066-04-09
614,171,614,2060-06-25,2060-06-25
615,337,615,2091-06-28,2091-07-16
616,277,616,2073-11-04,2073-11-13
617,96,617,2046-12-30,2046-12-30
618,292,618,2079-08-15,2079-08-30
619,239,619,2034-01-30,2034-02-08
620,96,620,2092-09-13,2092-09-24
621,33,621,2073-11-12,2073-11-27
622,105,622,2038-11-18,2038-11-22
623,170,623,2090-10-14,2090-10-15
624,359,624,2094-10-31,2094-11-09
625,357,625,2060-11-09,2060-11-09
626,19,626,2045-06-20,2045-07-09
627,208,627,2043-10-24,2043-11-01
628,403,628,2079-03-18,2079-03-28
629,45,629,2027-07-10,2027-07-19
630,47,630,2054-06-29,2054-07-14
631,103,631,2090-03-26,2090-04-12
632,144,632,2050-02-03,2050-02-17
633,67,633,2070-09-12,2070-09-28
634,263,634,2069-08-18,2069-08-31
635,20,635,2025-06-16,2025-07-01
636,444,636,2071-09-07,2071-09-18
637,449,637,2032-02-11,2032-02-29
638,162,638,2059-06-10,2059-06-27
639,10,639,2092-07-10,2092-07-27
640,66,640,2077-04-17,2077-04-26
641,308,641,2098-10-28,2098-11-14
642,191,642,2058-08-05,2058-08-05
643,61,643,2059-01-03,2059-01-06
644,10,644,2072-09-24,2072-10-05
645,308,645,2064-09-09,2064-09-11
646,225,646,2020-10-17,2020-10-27
647,410,647,2022-10-31,2022-11-08
648,137,648,2030-05-03,2030-05-12
649,100,649,2024-02-07,2024-02-22
650,413,650,2071-09-29,2071-10-15
651,309,651,2037-10-11,2037-10-20
652,106,652,2096-07-15,2096-08-02
653,253,653,2038-03-14,2038-03-20
654,358,654,2025-07-01,2025-07-14
655,61,655,2082-11-26,2082-12-12
656,96,656,2022-01-06,2022-01-12
657,183,657,2067-11-08,2067-11-21
658,96,658,2085-01-14,2085-01-14
659,9,659,2022-01-07,2022-01-25
660,246,660,2075-02-27,2075-03-12
661,7,661,2048-10-29,2048-11-02
662,171,662,2077-06-10,2077-06-14
663,9,663,2072-04-07,2072-04-17
664,294,664,2081-12-02,2081-12-18
665,29,665,2098-02-02,2098-02-03
666,438,666,2082-07-12,2082-07-14
667,219,667,2090-03-07,2090-03-24
668,230,668,2034-03-25,2034-03-27
669,284,669,2024-09-25,2024-10-06
670,195,670,2073-01-10,2073-01-22
671,275,671,2031-07-10,2031-07-10
672,178,672,2051-01-16,2051-02-01
673,194,673,2053-10-24,2053-11-09
674,273,674,2091-10-30,2091-11-15
675,48,675,2054-06-25,2054-07-11
676,90,676,2046-09-18,2046-10-02
677,297,677,2020-03-14,2020-03-14
678,118,678,2026-08-31,2026-09-02
679,13,679,2065-11-12,2065-11-15
680,333,680,2059-11-05,2059-11-12
681,339,681,2026-07-15,2026-07-23
682,442,682,2045-08-02,2045-08-02
683,29,683,2061-08-29,2061-09-01
684,97,684,2039-01-19,2039-02-04
685,71,685,2098-04-22,2098-05-01
686,256,686,2047-02-19,2047-02-23
687,194,687,2080-02-26,2080-02-29
688,105,688,2056-04-11,2056-04-20
689,403,689,2085-04-02,2085-04-21
690,46,690,2099-06-25,2099-07-13
691,279,691,2089-01-24,2089-02-01
692,15,692,2081-04-02,2081-04-10
693,69,693,2068-05-19,2068-05-23
694,320,694,2090-11-03,2090-11-15
695,429,695,2065-01-21,2065-02-07
696,46,696,2069-07-13,2069-07-14
