eid,vinoid
251,144
251,204
251,71
120,118
120,18
120,205
869,132
869,72
869,104
407,144
407,156
407,170
165,99
165,41
165,202
993,149
993,92
993,9
906,173
906,41
906,90
181,209
181,208
181,199
799,53
799,166
799,51
450,134
450,5
450,26
577,84
577,92
577,31
426,79
426,125
426,140
550,94
550,123
550,17
455,120
455,21
455,104
798,23
798,50
798,5
570,199
570,210
570,58
515,63
515,54
515,164
754,96
754,138
754,196
87,43
87,82
87,217
274,76
274,206
274,189
201,183
201,103
201,26
924,171
924,175
924,131
656,72
656,162
656,131
364,136
364,120
364,194
931,160
931,58
931,88
702,167
702,165
702,60
385,162
385,83
385,126
395,186
395,202
395,158
692,122
692,145
692,66
451,176
451,232
451,150
620,216
620,184
620,206
110,224
110,93
110,101
35,230
35,126
35,173
567,214
567,189
567,174
463,67
463,97
463,47
736,58
736,226
736,31
194,232
194,89
194,164
726,73
726,6
726,166
923,30
923,12
923,167
17,137
17,12
17,138
195,221
195,235
195,97
607,42
607,49
607,33
999,81
999,46
999,149
793,16
793,132
793,212
864,181
864,108
864,183
940,137
940,235
940,24
746,165
746,186
746,110
217,222
217,195
217,131
571,103
571,193
571,180
894,109
894,210
894,85
327,228
327,95
327,160
740,195
740,238
740,152
698,150
698,195
698,146
811,22
811,227
811,147
314,98
314,181
314,126
135,44
135,197
135,106
397,107
397,141
397,186
929,230
929,126
929,3
357,185
357,51
357,19
512,17
512,89
512,113
909,104
909,70
909,121
151,221
151,123
151,18
405,142
405,90
405,129
57,42
57,188
57,145
533,239
533,208
533,52
613,60
613,209
613,165
723,175
723,25
723,184
257,177
257,212
257,101
884,235
884,80
884,134
777,43
777,71
777,188
711,116
711,176
711,41
295,123
295,86
295,68
178,148
178,113
178,11
952,126
952,19
952,185
214,73
214,33
214,139
415,136
415,86
415,111
684,165
684,112
684,176
578,220
578,7
578,121
322,121
322,118
322,7
184,124
184,91
184,195
122,88
122,28
122,79
598,15
598,236
598,211
735,148
735,154
735,159
380,173
380,94
380,53
50,25
50,218
50,213
637,40
637,0
637,159
882,192
882,233
882,1
252,201
252,4
252,92
359,216
359,229
359,123
771,227
771,220
771,25
117,125
117,215
117,212
729,101
729,80
729,214
41,129
41,166
41,86
461,175
461,31
461,123
980,182
980,132
980,99
835,212
835,236
835,205
883,199
883,151
883,124
318,94
318,137
318,117
507,31
507,90
507,139
523,28
523,170
523,125
185,128
185,45
185,81
654,124
654,59
654,163
171,109
171,161
171,131
895,180
895,89
895,144
960,13
960,85
960,32
564,229
564,48
564,157
663,115
663,111
663,70
541,102
541,148
541,228
265,19
265,218
265,211
234,194
234,53
234,73
480,79
480,61
480,189
730,26
730,12
730,56
569,97
569,185
569,204
595,104
595,1
595,53
497,2
497,33
497,131
300,106
300,220
300,127
33,11
33,30
33,189
992,105
992,188
992,225
890,34
890,95
890,195
330,17
330,102
330,42
769,189
769,100
769,37
106,64
106,115
106,234
324,51
324,188
324,32
838,113
838,111
838,15
945,108
945,206
945,67
947,228
947,89
947,3
12,43
12,191
12,15
51,180
51,10
51,94
282,60
282,182
282,4
814,107
814,2
814,147
206,174
206,211
206,225
701,208
701,83
701,102
617,191
617,216
617,31
627,27
627,234
627,21
781,79
781,239
781,13
381,229
381,238
381,236
235,144
235,11
235,37
412,34
412,56
412,11
134,205
134,93
134,40
52,173
52,2
52,16
24,217
24,159
24,65
628,172
628,105
628,99
908,164
908,207
908,23
93,142
93,211
93,105
686,66
686,27
686,42
270,186
270,189
270,163
479,196
479,44
479,151
498,170
498,51
498,207
123,110
123,9
123,118
601,219
601,24
601,53
111,196
111,205
111,2
958,238
958,68
958,95
527,238
527,123
527,22
749,77
749,163
749,187
548,156
548,107
548,116
589,103
589,45
589,206
236,185
236,88
236,99
465,14
465,238
465,196
610,151
610,122
610,114
575,151
575,106
575,57
844,30
844,206
844,232
180,47
180,96
180,224
308,96
308,53
308,195
543,151
543,180
543,131
933,101
933,18
933,170
629,204
629,91
629,22
250,62
250,152
250,93
737,2
737,98
737,163
355,217
355,152
355,44
795,219
795,87
795,170
306,162
306,110
306,181
462,186
462,221
462,65
259,155
259,192
259,135
759,38
759,19
759,39
826,9
826,14
826,112
336,166
336,50
336,217
707,5
707,8
707,151
371,180
371,7
371,81
138,136
138,4
138,145
349,103
349,35
349,16
71,100
71,24
71,33
695,200
695,197
695,146
351,226
351,194
351,152
209,182
209,146
209,27
311,47
311,158
311,181
382,94
382,7
382,17
763,207
763,189
763,228
65,71
65,201
65,2
987,181
987,189
987,153
693,209
693,171
693,201
173,16
173,54
173,137
946,1
946,181
946,114
86,71
86,163
86,187
635,225
635,37
635,176
140,128
140,64
140,152
260,222
260,77
260,46
506,181
506,162
506,187
549,191
549,114
549,38
775,58
775,164
775,3
757,131
757,129
757,128
827,179
827,49
827,229
889,136
889,60
889,104
916,197
916,70
916,180
753,153
753,61
753,118
632,94
632,136
632,80
321,212
321,7
321,76
591,54
591,70
591,46
516,206
516,96
516,146
310,163
310,102
310,18
865,127
865,28
865,122
935,161
935,75
935,150
830,95
830,151
830,4
820,0
820,141
820,9
756,186
756,83
756,219
596,203
596,225
596,148
100,184
100,67
100,73
49,22
49,35
49,34
519,185
519,68
519,82
436,38
436,201
436,185
59,213
59,111
59,66
155,98
155,13
155,11
742,66
742,152
742,15
470,23
470,78
470,142
670,5
670,185
670,53
128,69
128,30
128,208
642,143
642,207
642,162
103,59
103,96
103,39
481,176
481,67
481,63
215,147
215,121
215,191
91,121
91,162
91,61
907,194
907,210
907,154
984,226
984,8
984,109
779,140
779,78
779,16
384,224
384,231
384,1
785,133
785,42
785,22
281,174
281,196
281,172
101,56
101,174
101,131
710,124
710,206
710,74
466,235
466,115
466,179
220,71
220,99
220,58
573,237
573,22
573,98
782,111
782,23
782,25
46,170
46,45
46,20
249,10
249,9
249,88
649,132
649,80
649,27
892,108
892,97
892,101
58,183
58,75
58,52
315,134
315,125
315,174
816,28
816,13
816,42
996,72
996,202
996,176
131,206
131,105
131,116
169,209
169,139
169,109
425,210
425,206
425,130
747,105
747,68
747,2
700,183
700,235
700,222
767,227
767,185
767,114
464,187
464,126
464,170
328,197
328,96
328,219
177,80
177,46
177,135
547,17
547,212
547,86
82,42
82,13
82,136
207,135
207,146
207,136
418,61
418,96
418,184
603,67
603,155
603,143
203,100
203,9
203,7
307,53
307,86
307,129
116,183
116,90
116,138
492,229
492,32
492,209
810,35
810,81
810,165
801,2
801,94
801,42
982,209
982,176
982,210
760,230
760,22
760,199
518,83
518,193
518,236
156,190
156,30
156,159
121,172
121,114
121,20
874,173
874,119
874,67
831,178
831,186
831,78
652,213
652,159
652,20
402,34
402,149
402,105
859,183
859,52
859,78
39,90
39,30
39,35
809,106
809,96
809,84
714,120
714,154
714,5
557,13
557,134
557,214
254,206
254,200
254,92
433,3
433,56
433,80
124,230
124,233
124,218
858,160
858,114
858,221
583,181
583,134
583,123
624,85
624,125
624,75
78,34
78,36
78,175
396,173
396,185
396,7
291,133
291,0
291,2
786,18
786,65
786,222
29,131
29,79
29,191
948,90
948,199
948,172
796,137
796,58
796,7
192,166
192,216
192,150
114,33
114,200
114,178
275,68
275,118
275,1
990,54
990,96
990,113
36,37
36,191
36,55
164,148
164,44
164,30
967,107
967,74
967,112
633,62
633,197
633,206
483,207
483,229
483,204
263,64
263,85
263,136
554,105
554,42
554,110
424,24
424,178
424,214
452,124
452,189
452,228
744,226
744,23
744,85
974,106
974,228
974,187
531,8
531,11
531,174
408,20
408,65
408,61
922,163
922,102
922,121
674,11
674,226
674,42
400,97
400,12
400,223
671,46
671,34
671,127
572,78
572,37
572,114
643,19
643,82
643,221
469,147
469,211
469,207
655,132
655,25
655,151
901,135
901,225
901,236
511,191
511,90
511,100
897,173
897,224
897,22
358,127
358,105
358,128
509,108
509,52
509,106
495,96
495,23
495,120
202,192
202,122
202,168
529,153
529,55
529,168
32,162
32,166
32,155
38,66
38,232
38,217
411,209
411,44
411,179
1,142
1,44
1,71
491,56
491,55
491,79
783,83
783,5
783,32
362,230
362,141
362,132
675,60
675,29
675,178
423,10
423,141
423,30
127,211
127,237
127,50
971,5
971,144
971,152
20,87
20,138
20,116
183,229
183,220
183,171
619,61
619,128
619,40
772,132
772,145
772,186
152,162
152,212
152,215
584,215
584,49
584,6
544,20
544,195
544,205
579,27
579,65
579,108
774,177
774,71
774,106
34,235
34,7
34,61
246,65
246,160
246,103
817,105
817,115
817,193
136,99
136,149
136,188
208,120
208,212
208,19
69,111
69,90
69,12
502,211
502,58
502,233
650,35
650,70
650,104
784,195
784,210
784,64
797,145
797,65
797,141
441,152
441,38
441,33
432,192
432,163
432,76
606,204
606,219
606,64
434,41
434,168
434,0
804,61
804,120
804,179
508,53
508,29
508,158
789,174
789,89
789,175
428,204
428,203
428,199
615,198
615,130
615,143
985,25
985,101
985,191
748,197
748,219
748,208
664,38
664,233
664,208
528,95
528,191
528,41
920,43
920,32
920,62
953,229
953,211
953,59
369,88
369,228
369,70
989,96
989,13
989,147
228,40
228,35
228,3
815,90
815,234
815,238
332,194
332,160
332,0
841,110
841,236
841,156
287,188
287,143
287,19
560,61
560,110
560,28
825,30
825,1
825,91
891,127
891,183
891,235
161,199
161,33
161,37
622,46
622,57
622,216
762,69
762,90
762,184
85,10
85,154
85,93
457,80
457,157
457,5
853,51
853,79
853,18
520,135
520,222
520,165
645,228
645,187
645,214
112,104
112,161
112,235
98,157
98,226
98,161
448,20
448,77
448,159
682,235
682,133
682,224
62,125
62,218
62,32
843,21
843,105
843,204
800,100
800,207
800,238
401,36
401,179
401,235
175,177
175,222
175,149
446,133
446,132
446,166
182,190
182,206
182,46
625,8
625,25
625,142
576,211
576,75
576,62
832,185
832,28
832,76
243,169
243,64
243,55
875,50
875,60
875,224
807,13
807,59
807,51
7,115
7,133
7,235
255,73
255,36
255,11
95,198
95,109
95,120
199,219
199,93
199,70
504,63
504,44
504,183
139,68
139,119
139,24
144,238
144,98
144,147
713,153
713,156
713,151
238,196
238,49
238,17
342,186
342,89
342,233
562,208
562,1
562,10
247,55
247,142
247,105
918,66
918,43
918,204
942,145
942,216
942,192
513,128
513,211
513,228
344,49
344,14
344,104
669,97
669,237
669,30
712,186
712,35
712,173
66,212
66,211
66,225
172,137
172,178
172,14
421,182
421,102
421,189
696,142
696,60
696,160
559,49
559,118
559,139
258,140
258,35
258,7
196,196
196,225
196,209
646,177
646,152
646,91
880,34
880,230
880,112
927,116
927,181
927,54
845,210
845,25
845,207
309,118
309,94
309,135
532,156
532,229
532,134
299,39
299,173
299,30
739,172
739,149
739,113
904,32
904,19
904,79
326,154
326,211
326,70
292,115
292,58
292,161
333,22
333,198
333,64
614,171
614,3
614,87
429,30
429,9
429,131
471,44
471,85
471,31
609,182
609,103
609,57
414,179
414,92
414,125
660,160
660,98
660,146
478,153
478,227
478,76
363,136
363,185
363,184
8,35
8,99
8,133
728,65
728,144
728,214
430,158
430,196
430,171
150,139
150,72
150,8
133,122
133,169
133,188
863,98
863,4
863,149
975,27
975,170
975,85
925,36
925,220
925,136
966,150
966,189
966,84
211,42
211,24
211,142
233,172
233,180
233,128
703,34
703,64
703,237
125,52
125,234
125,95
586,137
586,77
586,47
731,176
731,115
731,54
81,2
81,73
81,227
983,124
983,218
983,68
724,224
724,51
724,122
917,135
917,24
917,20
278,229
278,170
278,147
347,206
347,96
347,215
386,175
386,167
386,163
764,204
764,125
764,228
790,139
790,208
790,185
378,5
378,136
378,84
376,22
376,131
376,102
659,137
659,175
659,58
915,117
915,186
915,232
413,86
413,103
413,157
950,176
950,148
950,137
928,158
928,64
928,152
630,141
630,117
630,239
160,64
160,201
160,14
755,23
755,5
755,82
80,65
80,58
80,203
437,182
437,229
437,55
556,5
556,31
556,14
962,170
962,42
962,53
896,84
896,82
896,178
530,68
530,105
530,165
899,120
899,175
899,8
373,13
373,128
373,99
13,120
13,224
13,55
276,22
276,210
276,103
130,202
130,102
130,2
921,18
921,179
921,178
910,209
910,149
910,165
828,7
828,36
828,191
410,105
410,83
410,147
387,218
387,156
387,176
673,164
673,13
673,131
588,178
588,52
588,220
305,162
305,202
305,157
581,34
581,221
581,110
79,215
79,9
79,20
94,152
94,136
94,223
697,102
697,128
697,25
594,202
594,77
594,229
677,193
677,69
677,43
119,29
119,163
119,151
805,72
805,107
805,8
456,46
456,106
456,161
404,6
404,230
404,228
159,221
159,110
159,84
644,229
644,45
644,128
861,169
861,146
861,119
545,21
545,77
545,34
96,134
96,110
96,121
242,143
242,123
242,89
802,142
802,189
802,8
339,166
339,72
339,83
438,51
438,54
438,184
474,144
474,18
474,70
45,43
45,130
45,168
776,133
776,64
776,231
873,32
873,142
873,116
21,145
21,63
21,10
758,49
758,202
758,3
792,44
792,78
792,83
973,150
973,135
973,62
720,40
720,45
720,30
585,216
585,76
585,31
113,215
113,144
113,95
335,146
335,78
335,116
833,167
833,166
833,234
377,214
377,176
377,185
683,162
683,169
683,54
109,219
109,192
109,115
732,36
732,136
732,137
304,140
304,149
304,100
539,79
539,93
539,17
994,168
994,47
994,125
269,1
269,133
269,120
813,16
813,219
813,147
822,64
822,185
822,107
176,196
176,227
176,115
76,115
76,130
76,66
716,237
716,215
716,47
392,158
392,230
392,71
680,216
680,127
680,81
296,113
296,61
296,170
651,179
651,92
651,109
442,225
442,98
442,95
146,73
146,92
146,238
535,55
535,118
535,151
398,165
398,108
398,40
981,30
981,158
981,231
639,228
639,15
639,144
37,42
37,47
37,224
399,11
399,228
399,124
521,44
521,178
521,139
174,71
174,150
174,115
350,168
350,202
350,57
662,158
662,215
662,29
68,89
68,144
68,93
388,234
388,173
388,202
979,35
979,124
979,172
154,213
154,203
154,144
934,70
934,39
934,202
715,75
715,128
715,152
911,168
911,158
911,10
503,100
503,153
503,57
705,209
705,32
705,109
43,158
43,18
43,35
74,233
74,150
74,151
14,47
14,195
14,159
526,153
526,173
526,136
641,77
641,30
641,49
26,175
26,82
26,18
534,83
534,162
534,57
338,10
338,82
338,231
638,112
638,210
638,238
855,227
855,113
855,21
346,38
346,64
346,103
279,26
279,175
279,77
383,194
383,167
383,77
912,103
912,111
912,126
725,222
725,78
725,115
374,181
374,113
374,173
162,98
162,85
162,20
959,6
959,49
959,184
325,140
325,72
325,199
468,213
468,117
468,107
142,94
142,74
142,205
939,212
939,96
939,208
179,103
179,136
179,71
212,40
212,194
212,64
727,54
727,85
727,124
661,174
661,102
661,181
361,216
361,20
361,46
555,112
555,14
555,183
658,143
658,177
658,72
406,145
406,204
406,56
563,67
563,111
563,220
963,234
963,104
963,168
566,181
566,104
566,15
840,136
840,230
840,214
648,28
648,110
648,94
284,12
284,115
284,18
143,46
143,182
143,175
657,97
657,200
657,154
389,66
389,237
389,168
879,92
879,46
879,238
860,79
860,64
860,200
640,181
640,81
640,224
487,67
487,235
487,184
367,61
367,192
367,87
191,25
191,157
191,219
352,215
352,206
352,137
857,66
857,235
857,34
3,218
3,163
3,226
360,159
360,175
360,223
888,15
888,166
888,177
229,74
229,87
229,78
368,21
368,132
368,89
222,82
222,62
222,168
102,120
102,99
102,224
403,112
403,236
403,15
733,137
733,13
733,95
223,63
223,201
223,191
829,147
829,38
829,157
147,72
147,116
147,183
197,53
197,81
197,123
290,108
290,1
290,132
955,132
955,145
955,34
316,64
316,206
316,188
67,195
67,192
67,205
126,88
126,29
126,28
734,208
734,121
734,237
741,227
741,229
741,111
949,179
949,209
949,147
514,117
514,161
514,156
561,4
561,34
561,82
848,33
848,210
848,177
454,122
454,93
454,28
690,120
690,126
690,37
885,53
885,152
885,182
158,236
158,130
158,165
394,95
394,117
394,68
420,56
420,161
420,57
221,63
221,224
221,91
170,136
170,42
170,173
107,97
107,207
107,23
132,239
132,217
132,32
689,98
689,94
689,6
794,139
794,237
794,81
241,221
241,229
241,155
193,115
193,54
193,119
965,217
965,15
965,62
166,5
166,103
166,11
542,70
542,11
542,124
505,151
505,35
505,198
19,135
19,140
19,4
137,26
137,150
137,197
198,130
198,102
198,17
699,39
699,51
699,119
687,144
687,100
687,7
445,115
445,145
445,105
435,15
435,168
435,212
976,165
976,10
976,99
688,213
688,145
688,54
391,123
391,220
391,113
334,97
334,159
334,45
145,177
145,170
145,229
409,120
409,77
409,196
343,24
343,68
343,36
706,8
706,224
706,105
458,93
458,5
458,169
6,126
6,139
6,58
239,41
239,33
239,30
115,131
115,194
115,204
224,38
224,83
224,181
289,238
289,98
289,16
634,131
634,63
634,227
500,187
500,3
500,122
23,73
23,150
23,117
25,15
25,215
25,128
647,187
647,178
647,154
751,119
751,95
751,106
616,49
616,62
616,174
887,155
887,63
887,31
320,33
320,108
320,18
301,112
301,175
301,65
587,22
587,61
587,184
839,231
839,20
839,68
262,156
262,62
262,125
104,198
104,48
104,42
89,48
89,185
89,208
672,73
672,231
672,204
510,143
510,10
510,201
546,7
546,213
546,43
30,50
30,223
30,179
64,202
64,130
64,237
56,92
56,72
56,126
280,187
280,201
280,200
738,112
738,93
738,191
345,214
345,114
345,153
329,79
329,222
329,239
317,146
317,140
317,209
77,123
77,102
77,197
978,13
978,122
978,137
213,162
213,205
213,65
552,22
552,207
552,184
484,148
484,103
484,117
488,214
488,158
488,233
580,133
580,8
580,52
47,80
47,70
47,84
806,118
806,198
806,135
70,122
70,17
70,81
453,39
453,147
453,41
375,34
375,50
375,73
808,233
808,146
808,208
440,174
440,169
440,200
986,3
986,112
986,83
167,177
167,28
167,218
42,97
42,175
42,171
745,32
745,196
745,142
256,193
256,110
256,11
273,208
273,72
273,71
218,17
218,199
218,232
293,87
293,156
293,103
416,45
416,118
416,126
345,0
513,0
238,0
307,0
817,0
748,0
805,0
604,0
464,0
907,0
361,0
498,0
693,0
295,0
204,0
954,0
640,0
148,0
485,0
477,0
371,0
612,0
516,0
840,0
900,0
678,0
133,0
726,0
425,0
0,0
575,0
710,0
480,0
27,0
61,0
258,0
978,0
901,0
357,0
653,0
112,0
644,0
210,0
122,0
881,0
509,0
242,0
74,0
343,0
306,0
565,0
977,0
893,0
180,0
947,0
963,0
411,0
327,0
222,0
909,0
192,0
939,0
21,0
149,0
594,0
707,0
364,0
996,0
917,0
374,0
312,0
205,0
469,0
523,0
245,0
965,0
651,0
254,0
281,0
605,0
778,0
311,0
443,0
279,0
293,0
236,0
679,0
70,0
259,0
16,0
657,0
7,0
408,0
390,0
866,0
544,0
86,0
756,0
727,0
43,0
723,0
496,0
684,0
444,0
894,0
139,0
794,0
844,0
969,0
753,0
682,0
620,0
972,0
146,0
527,0
59,0
733,0
750,0
835,0
613,0
243,0
928,0
725,0
294,0
683,0
77,0
697,0
54,0
546,0
339,0
593,0
331,0
99,0
804,0
121,0
681,0
155,0
208,0
688,0
878,0
777,0
476,0
934,0
267,0
308,0
213,0
700,0
78,0
522,0
964,0
732,0
351,0
195,0
29,0
429,0
507,0
249,0
203,0
56,0
283,0
67,0
806,0
774,0
971,0
558,0
91,0
465,0
889,0
606,0
241,0
184,0
833,0
199,0
775,0
37,0
786,0
797,0
141,0
150,0
87,0
602,0
675,0
631,0
761,0
764,0
787,0
944,0
918,0
376,0
724,0
852,0
617,0
4,0
275,0
96,0
962,0
865,0
855,0
125,0
28,0
65,0
557,0
233,0
524,0
663,0
584,0
795,0
808,0
819,0
409,0
714,0
26,0
189,0
718,0
206,0
454,0
437,0
352,0
581,0
588,0
68,0
427,0
676,0
879,0
998,0
615,0
386,0
170,0
467,0
264,0
757,0
497,0
643,0
799,0
84,0
322,0
173,0
399,0
153,0
771,0
706,0
66,0
340,0
551,0
273,0
548,0
76,0
838,0
784,0
850,0
511,0
872,0
156,0
566,0
369,0
160,0
990,0
400,0
10,0
924,0
159,0
57,0
703,0
201,0
324,0
60,0
234,0
209,0
896,0
760,0
731,0
462,0
47,0
953,0
843,0
181,0
518,0
138,0
912,0
278,0
737,0
785,0
85,0
827,0
300,0
834,0
436,0
499,0
543,0
183,0
285,0
911,0
882,0
42,0
857,0
530,0
229,0
144,0
796,0
323,0
80,0
919,0
561,0
949,0
597,0
938,0
88,0
365,0
271,0
570,0
751,0
231,0
220,0
147,0
167,0
564,0
793,0
816,0
458,0
608,0
603,0
6,0
639,0
528,0
526,0
36,0
108,0
250,0
127,0
699,0
64,0
102,0
847,0
217,0
916,0
83,0
468,0
712,0
394,0
424,0
207,0
235,0
132,0
672,0
952,0
622,0
129,0
191,0
401,0
931,0
304,0
225,0
571,0
128,0
654,0
391,0
946,0
762,0
32,0
772,0
801,0
529,0
18,0
717,0
848,0
539,0
453,0
773,0
960,0
131,0
514,0
446,0
420,0
63,0
337,0
62,0
621,0
12,0
735,0
182,0
618,0
921,0
134,0
310,0
740,0
90,0
828,0
614,0
448,0
405,0
755,0
190,0
906,0
495,0
33,0
691,0
19,0
854,0
317,0
347,0
397,0
970,0
673,0
875,0
479,0
123,0
885,0
79,0
252,0
171,0
789,0
920,0
92,0
115,0
859,0
858,0
677,0
288,0
898,0
500,0
197,0
930,0
274,0
521,0
999,0
976,0
715,0
135,0
432,0
219,0
290,0
287,0
891,0
422,0
227,0
329,0
94,0
172,0
158,0
151,0
979,0
704,0
780,0
831,0
763,0
381,0
680,0
46,0
305,0
997,0
915,0
690,0
292,0
504,0
623,0
629,0
348,0
395,0
973,0
98,0
758,0
694,0
455,0
531,0
573,0
607,0
940,0
72,0
282,0
435,0
314,0
456,0
341,0
404,0
568,0
628,0
616,0
30,0
650,0
591,0
652,0
247,0
410,0
296,0
50,0
114,0
642,0
154,0
393,0
488,0
951,0
648,0
261,0
556,0
658,0
55,0
