rid,nombre_parque,hectareas,descripcion_parque,tarifa,pid,aid,nombre_atractivo,descripcion_atractivo,url_atractivo
1,Parque Nacional Llullaillaco,573728,Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.,15397.01,7,31,MONTERA DEL LA,Pariatur at laudantium ullam. Ratione culpa porro soluta voluptatum.,http://lorempixel.com/343/379/nature/
1,Parque Nacional Llullaillaco,573728,Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.,15397.01,7,32,RUTA DE BANDOLEROS,Iure officia sapiente porro occaecati suscipit reiciendis.,http://lorempixel.com/225/349/nature/
1,Parque Nacional Llullaillaco,573728,Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.,15397.01,7,33,UBRIQUE LA CRUZ,Explicabo ducimus vitae unde fugiat necessitatibus. Explicabo rem soluta odit harum.,http://lorempixel.com/226/353/nature/
1,Parque Nacional Llullaillaco,573728,Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.,15397.01,7,34,LAS TEJÓN CANTERAS,In impedit debitis repellendus vitae fugiat laborum quos. Alias saepe delectus similique. Cum rerum fuga consequuntur consequuntur.,http://lorempixel.com/212/362/nature/
1,Monumento Natural La Portada,877320,Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.,14969.19,8,35,PUERTA DEL VERDE,Hic inventore officiis explicabo deleniti at. Sequi molestiae accusantium sapiente reiciendis soluta fuga.,http://lorempixel.com/293/265/nature/
1,Monumento Natural La Portada,877320,Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.,14969.19,8,36,UBRIQUE DE ASOMADILLA,Voluptatum quidem at doloribus sed laudantium hic culpa. Incidunt cupiditate eaque quo dolor cupiditate quas.,http://lorempixel.com/338/217/nature/
1,Monumento Natural La Portada,877320,Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.,14969.19,8,37,SALTILLO ROCHE EL,Harum deserunt voluptatibus at praesentium. Doloribus officia repellat repudiandae at numquam et. At aliquid ullam atque neque voluptatem cumque.,http://lorempixel.com/256/314/nature/
1,Monumento Natural La Portada,877320,Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.,14969.19,8,38,Y SANTO EL,Magni deleniti temporibus explicabo adipisci laboriosam eos. Reiciendis maiores magni vitae ex iste.,http://lorempixel.com/294/324/nature/
1,Monumento Natural La Portada,877320,Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.,14969.19,8,39,DEL COLADA BOSQUE-CAMINO,Doloribus optio consectetur et alias. Sed ea commodi dolor. Corrupti doloremque assumenda cum fugiat assumenda illo atque.,http://lorempixel.com/305/200/nature/
2,Parque Nacional Pan de Azucar,393150,Similique sint nam quis. Suscipit excepturi facilis vero temporibus.,22571.98,10,40,PRESA DE BOGAS,Cumque quia qui explicabo veniam deleniti veniam minima. Corporis cupiditate ab voluptatum. Illo nisi voluptatibus tenetur illum vero recusandae.,http://lorempixel.com/327/307/nature/
2,Parque Nacional Pan de Azucar,393150,Similique sint nam quis. Suscipit excepturi facilis vero temporibus.,22571.98,10,41,LOS CAMINO DE,Tenetur magnam nam dolores laboriosam. Distinctio aliquam iste fuga neque aspernatur. Eum error harum sapiente amet.,http://lorempixel.com/349/397/nature/
2,Parque Nacional Pan de Azucar,393150,Similique sint nam quis. Suscipit excepturi facilis vero temporibus.,22571.98,10,42,DEL JEREZ LA,Excepturi aperiam dicta reiciendis tenetur. Omnis debitis ducimus dolores eaque dignissimos. Voluptatem deserunt consequuntur deleniti ipsa harum.,http://lorempixel.com/337/264/nature/
2,Parque Nacional Pan de Azucar,393150,Similique sint nam quis. Suscipit excepturi facilis vero temporibus.,22571.98,10,43,GUADALETE DEL CAMARINAL,Quo officiis rem neque. Animi ad sapiente nesciunt.,http://lorempixel.com/322/257/nature/
2,Parque Nacional Pan de Azucar,393150,Similique sint nam quis. Suscipit excepturi facilis vero temporibus.,22571.98,10,44,LAS DESCANSADERO DEL,Aspernatur saepe asperiores impedit aspernatur nostrum odit. Vel sit laudantium ea nesciunt. Fugiat mollitia delectus deleniti ut optio necessitatibus delectus.,http://lorempixel.com/389/206/nature/
2,Reserva Nacional Pingüino de Humboldt,232138,Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.,7092.28,11,45,PLAZA LA ALGECIRAS,Tenetur voluptatibus hic natus fugiat.,http://lorempixel.com/246/303/nature/
2,Reserva Nacional Pingüino de Humboldt,232138,Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.,7092.28,11,46,DEL GUADIARO ESTUARIO,Tenetur aspernatur occaecati repellendus necessitatibus. Animi fuga nihil nesciunt itaque quidem iusto.,http://lorempixel.com/245/211/nature/
2,Reserva Nacional Pingüino de Humboldt,232138,Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.,7092.28,11,47,GARGANTA PUERTO OSCURO,Ullam enim libero porro voluptatem. Eaque aut deleniti accusamus necessitatibus laboriosam sunt.,http://lorempixel.com/258/277/nature/
2,Reserva Nacional Pingüino de Humboldt,232138,Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.,7092.28,11,48,DEL RAYO -,Quam repellat esse est eum rerum eveniet. Fuga libero fugit ipsam nam. Odit officiis modi nostrum nihil.,http://lorempixel.com/249/239/nature/
2,Reserva Nacional Pingüino de Humboldt,232138,Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.,7092.28,11,49,DE CAMINOS LOMAS,Nulla nam repellendus in. Similique consequatur atque illum. Quidem nulla totam impedit.,http://lorempixel.com/271/242/nature/
2,Parque Nacional Nevado Tres Cruces,251118,Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.,20266.56,12,50,EMBALSE DE BORNOS,Neque qui laboriosam voluptas deserunt minima sunt iure. Dolorum iste mollitia minus.,http://lorempixel.com/272/236/nature/
2,Parque Nacional Nevado Tres Cruces,251118,Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.,20266.56,12,51,BORNOS DEL DE,Inventore dolorem illo dolorem sunt id molestias. Suscipit dignissimos tempore.,http://lorempixel.com/381/202/nature/
2,Parque Nacional Nevado Tres Cruces,251118,Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.,20266.56,12,52,LA DE MEDINA,Culpa incidunt ducimus quidem temporibus. Modi soluta earum blanditiis eaque accusamus.,http://lorempixel.com/327/249/nature/
2,Parque Nacional Nevado Tres Cruces,251118,Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.,20266.56,12,53,PRESA DEL GUADALMESÍ,Perferendis suscipit similique odio. Nobis vitae quod tenetur.,http://lorempixel.com/349/202/nature/
2,Parque Nacional Nevado Tres Cruces,251118,Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.,20266.56,12,54,BACINETE ARROYOMOLINOS DEL,Et cum nam dolorem maiores totam. Quisquam mollitia repudiandae inventore ipsam ipsum nesciunt commodi. Harum iste deleniti ea.,http://lorempixel.com/317/307/nature/
2,Parque Nacional LLanos de Challe,581691,Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.,4475.3,13,55,AL COVEZUELAS-CHARCA CERRO,Officiis itaque earum iusto hic. Incidunt voluptatibus corporis pariatur repudiandae. Esse sint fugiat totam officiis suscipit.,http://lorempixel.com/252/367/nature/
2,Parque Nacional LLanos de Challe,581691,Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.,4475.3,13,56,BENAJIMA DE ROCINEJO,Voluptatum velit tenetur tenetur doloremque ex culpa. Inventore velit modi voluptas repellendus.,http://lorempixel.com/399/207/nature/
2,Parque Nacional LLanos de Challe,581691,Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.,4475.3,13,57,DE COMPLEJO DE,Molestias alias praesentium dicta.,http://lorempixel.com/240/211/nature/
2,Parque Nacional LLanos de Challe,581691,Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.,4475.3,13,58,ROQUE PLAYA DE,Nulla minima assumenda fugit. Asperiores veniam eos aliquid perspiciatis beatae. Quasi amet maiores reprehenderit ut.,http://lorempixel.com/378/235/nature/
2,Parque Nacional LLanos de Challe,581691,Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.,4475.3,13,59,CONIL LA ATALAYA,Libero omnis delectus a impedit libero. Consectetur veritatis dolore alias facilis ea.,http://lorempixel.com/369/232/nature/
3,Parque nacional Bosque Fray Jorge,917588,Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.,5214.34,15,60,TIEMPO PUERTO UN,Error et illo sint voluptate vero. Id necessitatibus nobis placeat harum assumenda. Architecto deleniti placeat possimus impedit nulla ipsam.,http://lorempixel.com/229/380/nature/
3,Parque nacional Bosque Fray Jorge,917588,Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.,5214.34,15,61,BATANES RETÍN Y,Vero porro explicabo soluta a molestias libero. Voluptatibus officia illum perspiciatis.,http://lorempixel.com/218/204/nature/
3,Parque nacional Bosque Fray Jorge,917588,Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.,5214.34,15,62,SUBIDA AL PICO,Quis omnis quo aliquid laborum. Quos velit voluptatum aperiam cumque. Enim inventore aliquam sequi sed.,http://lorempixel.com/343/316/nature/
3,Parque nacional Bosque Fray Jorge,917588,Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.,5214.34,15,63,DEL DE RAYO,Ducimus ipsam accusamus saepe accusantium corporis molestiae aut. Reiciendis nemo ex repudiandae. Dolore quis nobis.,http://lorempixel.com/363/214/nature/
3,Parque nacional Bosque Fray Jorge,917588,Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.,5214.34,15,64,BENALUP-FACINAS VERDE BORNOS,Accusantium in voluptatibus perferendis dolores. Minima ratione sapiente sequi fuga maxime soluta.,http://lorempixel.com/274/228/nature/
3,Parque Nacional Pingüino de Humboldt,291988,Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.,22425.78,16,65,DEL VERDE PARQUE,Vitae ullam numquam nemo minima voluptatem numquam. Quidem eveniet dicta eligendi magni dignissimos vitae. Nulla deleniti tempora ipsum cum nam voluptatibus.,http://lorempixel.com/234/380/nature/
3,Parque Nacional Pingüino de Humboldt,291988,Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.,22425.78,16,66,LA TEJA DE,Mollitia sint laborum assumenda sequi vel assumenda quod.,http://lorempixel.com/350/361/nature/
3,Parque Nacional Pingüino de Humboldt,291988,Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.,22425.78,16,67,DE LA CONIL,Tempore possimus quae quo sit. Libero maiores cupiditate aspernatur in dolore quibusdam.,http://lorempixel.com/385/289/nature/
3,Parque Nacional Pingüino de Humboldt,291988,Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.,22425.78,16,68,DEL RURALES PALMONES,Similique pariatur vero. Optio dolore amet debitis.,http://lorempixel.com/231/354/nature/
3,Parque Nacional Pingüino de Humboldt,291988,Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.,22425.78,16,69,A EL SANTOS,Ratione adipisci perspiciatis.,http://lorempixel.com/332/302/nature/
3,Reserva Nacional Las Chinchillas,325943,Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.,19502.46,17,70,PLATERAS FUENTES LAS,Doloremque blanditiis deserunt iure perferendis quia aut doloribus.,http://lorempixel.com/393/268/nature/
3,Reserva Nacional Las Chinchillas,325943,Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.,19502.46,17,71,DE ROCHE DE,Officia ex explicabo alias dolor veritatis. Necessitatibus consequuntur delectus ut adipisci saepe.,http://lorempixel.com/302/202/nature/
3,Reserva Nacional Las Chinchillas,325943,Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.,19502.46,17,72,DEL CABRERO ALTO,Atque nobis sunt animi fugiat natus voluptate. Atque deserunt perspiciatis a. Voluptatum inventore ut iusto.,http://lorempixel.com/396/304/nature/
3,Reserva Nacional Las Chinchillas,325943,Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.,19502.46,17,73,FIGURAS DE TAJO,Nesciunt molestias voluptate vero minus quo alias.,http://lorempixel.com/392/339/nature/
3,Reserva Nacional Las Chinchillas,325943,Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.,19502.46,17,74,OSCURO PUERTO HONDÓN,Cum dolor expedita reiciendis molestias.,http://lorempixel.com/342/320/nature/
3,Monumento Natural Pichasca,248155,Beatae voluptate magnam inventore. Enim odit iure.,22752.06,18,75,DE CÁDIZ ZAFRAMAGÓN,Corrupti illo reprehenderit optio. Consectetur eligendi rem repellendus inventore dolorum. Nemo non blanditiis a. Iusto quaerat nostrum itaque rerum reprehenderit consequuntur.,http://lorempixel.com/396/288/nature/
3,Monumento Natural Pichasca,248155,Beatae voluptate magnam inventore. Enim odit iure.,22752.06,18,76,DE CERRO GARCIAGO,Numquam similique vel voluptatum. Beatae ipsum pariatur nemo doloribus sapiente vitae recusandae.,http://lorempixel.com/368/287/nature/
3,Monumento Natural Pichasca,248155,Beatae voluptate magnam inventore. Enim odit iure.,22752.06,18,77,MECA DE LA,Pariatur commodi ad aliquid fuga. Nobis earum dolore debitis quibusdam reprehenderit. Repellendus officiis nobis atque non. Dicta dolores accusantium minus ab similique.,http://lorempixel.com/366/227/nature/
3,Monumento Natural Pichasca,248155,Beatae voluptate magnam inventore. Enim odit iure.,22752.06,18,78,DE BARBATE TESORILLO,In doloribus deserunt. Deleniti unde vero nemo molestias deleniti. Ab numquam adipisci eaque eos placeat vitae.,http://lorempixel.com/390/380/nature/
3,Monumento Natural Pichasca,248155,Beatae voluptate magnam inventore. Enim odit iure.,22752.06,18,79,DE JIMENA DE,Saepe pariatur facilis ullam minima.,http://lorempixel.com/326/266/nature/
4,Santuario de La Naturaleza Laguna El Peral,365104,Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.,9412.62,20,80,DE CHARCONES ARROYO,Eligendi itaque consectetur alias reprehenderit harum inventore illo. Placeat tenetur vitae suscipit magnam.,http://lorempixel.com/293/327/nature/
4,Santuario de La Naturaleza Laguna El Peral,365104,Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.,9412.62,20,81,PINOS ALGAIDA LOS,Perspiciatis illo error officiis doloremque quia minus molestiae. Asperiores possimus vitae assumenda pariatur reprehenderit.,http://lorempixel.com/381/352/nature/
4,Santuario de La Naturaleza Laguna El Peral,365104,Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.,9412.62,20,82,CARRASCÓN CHAVARRIA EL,Consequatur adipisci excepturi quia expedita ullam perferendis. Aperiam libero vero nisi odit odio nostrum.,http://lorempixel.com/283/277/nature/
4,Santuario de La Naturaleza Laguna El Peral,365104,Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.,9412.62,20,83,LADERA GUADALMESÍ RÍO,Quia temporibus ex nobis nam. Culpa totam delectus perspiciatis.,http://lorempixel.com/204/203/nature/
4,Santuario de La Naturaleza Laguna El Peral,365104,Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.,9412.62,20,84,CAÑADAS EL DE,Vitae qui suscipit. Mollitia magni tempora repudiandae nulla consequatur. Similique exercitationem esse.,http://lorempixel.com/204/233/nature/
4,Monumento Natural Isla Cachagua,953750,Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.,23782.36,21,85,PUERTO DE GARGANTA,Eos veniam nisi excepturi amet at distinctio natus.,http://lorempixel.com/206/313/nature/
4,Monumento Natural Isla Cachagua,953750,Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.,23782.36,21,86,MONTE ALGAIDA AL,Nam ullam quam laborum fugit. Aliquam error sapiente.,http://lorempixel.com/399/357/nature/
4,Monumento Natural Isla Cachagua,953750,Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.,23782.36,21,87,DE ARCOS DEL,Rem velit inventore ad voluptates. Aperiam velit neque odit dolorem magnam sapiente.,http://lorempixel.com/340/274/nature/
4,Monumento Natural Isla Cachagua,953750,Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.,23782.36,21,88,DE AL BARBATE-ERMITA,Consectetur sequi corrupti aperiam esse ullam alias. Animi itaque id et voluptates sed laboriosam ab. Hic nam tempora dolor ipsum facere.,http://lorempixel.com/346/284/nature/
4,Monumento Natural Isla Cachagua,953750,Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.,23782.36,21,89,FATES SIERRA VERDE,Minima nesciunt incidunt dolorem. Quod quasi deleniti ipsa repellat. Voluptatem illo sequi nesciunt expedita.,http://lorempixel.com/364/302/nature/
4,Reserva Nacional El Yali,412526,Unde eius autem aliquam iste ullam. Hic dicta optio sequi excepturi sequi doloremque. Qui nam eligendi delectus voluptates.,22828.39,22,90,DE ACANTILADO LÍBAR,Incidunt quibusdam sequi quaerat. Blanditiis soluta consequatur doloribus exercitationem corporis atque. Aperiam molestias aspernatur nemo ratione consectetur. Corporis repellat exercitationem repellat officia.,http://lorempixel.com/315/391/nature/
4,Reserva Nacional El Yali,412526,Unde eius autem aliquam iste ullam. Hic dicta optio sequi excepturi sequi doloremque. Qui nam eligendi delectus voluptates.,22828.39,22,91,LLANOS DEL BERRAL,Nobis perferendis non ea praesentium. Sint aperiam deleniti eum totam doloremque. Perferendis earum a.,http://lorempixel.com/292/396/nature/
4,Reserva Nacional El Yali,412526,Unde eius autem aliquam iste ullam. Hic dicta optio sequi excepturi sequi doloremque. Qui nam eligendi delectus voluptates.,22828.39,22,92,LA DE DE,Repudiandae nemo ipsum vel suscipit omnis corporis voluptas. Eligendi sed pariatur repellendus laborum laboriosam error.,http://lorempixel.com/270/224/nature/
